Player,AB,R,H,1B,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,FPTS
Juan Soto OF | NYM,577,120,152,88,20,1,43,105,127,137,38,4,0.263,0.396,0.525,911
"Shohei Ohtani U,P | LAD ",611,146,172,83,25,9,55,102,109,187,20,6,0.281,0.392,0.622,880
Geraldo Perdomo SS | ARI ,597,98,173,115,33,5,20,100,94,83,27,6,0.29,0.389,0.462,805
Francisco Lindor SS | NYM ,644,117,172,106,35,0,31,86,65,131,31,6,0.267,0.346,0.466,790
Kyle Schwarber DH | PHI ,604,111,145,64,23,2,56,132,108,197,10,2,0.24,0.365,0.563,790
Corbin Carroll OF | ARI ,564,107,146,66,32,17,31,84,67,153,32,6,0.259,0.343,0.541,750
Fernando Tatis Jr. OF | SD ,594,111,159,105,27,2,25,71,89,129,32,7,0.268,0.368,0.446,735
Pete Crow-Armstrong OF | CHC,591,91,146,74,37,4,31,95,29,155,35,8,0.247,0.287,0.48,697
Elly De La Cruz SS | CIN ,629,102,166,106,31,7,22,86,67,181,37,8,0.264,0.336,0.44,696
Trea Turner SS | PHI,589,94,179,126,31,7,15,69,43,107,36,7,0.304,0.355,0.457,691
Kyle Tucker OF | LAD ,500,91,133,82,25,4,22,73,87,88,25,3,0.266,0.377,0.464,674
Nico Hoerner 2B | CHC,599,89,178,138,29,4,7,61,39,49,29,6,0.297,0.345,0.394,662
Manny Machado 3B | SD ,615,91,169,109,33,0,27,95,55,131,14,3,0.275,0.335,0.46,630
Brice Turang 2B | MIL ,584,97,168,120,28,2,18,81,66,150,24,8,0.288,0.359,0.435,629
C.J. Abrams SS | WAS,580,92,149,90,35,5,19,60,37,125,31,3,0.257,0.316,0.433,625
Rafael Devers 1B | SF ,607,99,153,85,33,0,35,109,112,192,1,1,0.252,0.372,0.479,620
Mookie Betts SS | LAD ,589,95,152,107,23,2,20,82,61,68,8,2,0.258,0.326,0.406,610
Christian Yelich DH | MIL ,573,88,151,101,21,0,29,103,64,167,16,6,0.264,0.343,0.452,606
Eugenio Suarez 3B | CIN ,588,91,134,57,28,0,49,118,46,196,4,1,0.228,0.298,0.525,600
Matt Olson 1B | ATL,624,98,170,98,41,2,29,95,91,176,1,0,0.272,0.366,0.484,598
Jackson Chourio OF | MIL,549,88,148,88,35,4,21,78,30,121,21,7,0.27,0.308,0.463,576
Bo Bichette SS | NYM,582,78,181,118,44,1,18,94,40,91,4,3,0.311,0.357,0.483,574
Freddie Freeman 1B | LAD ,556,81,164,99,39,2,24,90,60,128,6,2,0.295,0.367,0.502,572
James Wood OF | WAS,598,87,153,84,38,0,31,94,85,221,15,7,0.256,0.35,0.475,562
Willy Adames SS | SF,591,94,133,79,22,2,30,87,80,179,12,4,0.225,0.318,0.421,560
Ketel Marte 2B | ARI ,480,87,136,80,28,0,28,72,64,83,4,2,0.283,0.376,0.517,560
Michael Busch 1B | CHC ,524,78,137,73,25,5,34,90,56,139,4,0,0.262,0.343,0.523,555
Luis Arraez 1B | SF,620,66,181,139,30,4,8,61,34,21,11,4,0.292,0.327,0.392,547
Seiya Suzuki OF | CHC ,571,75,140,74,31,3,32,103,71,164,5,2,0.245,0.326,0.478,545
Sal Frelick OF | MIL ,528,76,152,117,20,3,12,63,47,80,19,6,0.288,0.351,0.405,545
Bryce Harper 1B | PHI ,501,72,131,72,32,0,27,75,70,121,12,2,0.262,0.357,0.487,544
