Name,Age,mlbID,Tm,Lev,team_abbr,PA,AB,R,H,1B,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,position,depth
Jon Singleto,33,572138,minors,Maj-NL,NYM (AAA),472,392,60,79,46,15,0,18,66,77,126,2,1,0.202,0.335,0.378,1B,
Carlos P\xc3\xa9re,35,542208,minors,Maj-NL,CHC (AAA),622,541,89,146,71,41,1,33,104,68,111,2,1,0.27,0.357,0.532,C,
Yolmer S\xc3\xa1nche,34,570560,minors,Maj-AL,LAA (AAA),592,501,70,125,93,22,3,7,54,75,142,11,4,0.25,0.355,0.347,2B/3B,
Orlando Arci,31,606115,minors,Maj-AL,MIN (AAA),154,142,24,46,27,10,1,8,27,12,29,3,2,0.324,0.377,0.577,SS,
Jeimer Candelari,32,600869,minors,Maj-NL,"CIN (AAA,CPX)",410,361,49,79,44,24,0,11,53,42,122,1,1,0.219,0.31,0.377,3B,
Andrew Velazque,31,623205,minors,Maj-AL,NYY (AAA),445,397,58,92,64,21,0,7,48,34,112,28,6,0.232,0.294,0.338,SS,
Joey Menese,34,608841,minors,Maj-NL,NYM (AAA),585,533,54,148,91,40,1,16,86,44,82,2,0,0.278,0.335,0.447,1B/DH,
Harold Castr,31,605612,minors,Maj-AL,"KCR (AAA,CPX)",410,373,54,113,72,18,2,21,65,26,78,8,2,0.303,0.353,0.531,2B,
Tim Locastr,32,641796,minors,Maj-NL,SDP (AAA),414,344,69,93,59,21,4,9,52,36,67,32,5,0.27,0.367,0.433,OF,
Trey Mancin,34,641820,minors,Maj-NL,ARI (AAA),471,408,85,119,75,26,0,18,72,47,105,4,1,0.292,0.372,0.488,1B/DH/OF,
Jamie Westbroo,30,642197,minors,Maj-AL,TBR (AAA),430,372,47,99,63,29,0,7,49,43,70,2,0,0.266,0.35,0.401,2B,
\xc3\x93scar Mercad,31,640458,minors,Maj-NL,PHI (AAA),561,460,74,107,81,13,1,12,71,78,87,43,13,0.233,0.353,0.343,OF,
Sergio Alc\xc3\xa1ntar,29,642727,minors,Maj-NL,SFG (AAA),568,464,76,115,80,28,3,4,48,97,117,8,5,0.248,0.379,0.347,2B/3B/SS,
Michael Chavi,30,656308,minors,Maj-NL,LAD (AAA),411,374,66,108,58,25,3,22,75,31,94,4,4,0.289,0.343,0.548,1B/2B,
Vimael Mach\xc3\xad,32,605353,minors,Maj-AL,BAL (AAA),648,571,83,170,106,39,3,22,103,68,100,17,6,0.298,0.371,0.492,3B,
Richie Martin Jr,31,621006,minors,Maj-AL,TEX (AAA),434,372,64,93,68,12,7,6,48,37,94,35,5,0.25,0.342,0.368,SS,
Sam Hilliar,31,656541,minors,Maj-NL,COL (AAA),414,361,64,104,50,25,12,17,66,47,108,15,1,0.288,0.367,0.565,OF,
LaMonte Wade Jr,32,664774,minors,Maj-AL,CHW (AAA),152,113,20,27,18,5,0,4,22,36,30,1,0,0.239,0.424,0.389,1B/OF,
Edwin Rio,31,621458,minors,Maj-NL,CIN (AAA),546,472,69,116,65,23,2,26,94,63,180,0,1,0.246,0.337,0.468,1B/3B/DH,
P.J. Higgin,33,664731,minors,Maj-NL,CIN (AAA),452,401,39,93,69,16,1,7,46,40,81,0,1,0.232,0.306,0.329,C/1B,
Cavan Biggi,31,624415,minors,Maj-AL,KCR (AAA),422,354,59,88,61,16,2,9,50,55,101,6,3,0.249,0.358,0.381,2B,
Nick Senze,31,669222,minors,Maj-NL,"LAD (AA,AAA)",521,449,59,107,72,19,2,14,79,58,98,8,1,0.238,0.328,0.383,OF,
Nick Sola,31,669256,minors,Maj-NL,PIT (AAA),617,531,105,176,130,28,2,16,90,66,79,13,4,0.331,0.417,0.482,2B,
Donovan Walto,32,622268,minors,Maj-NL,NYM (AAA),646,549,97,149,110,19,1,19,88,79,86,7,4,0.271,0.369,0.413,2B/SS,
Jose Roja,33,670351,minors,Maj-AL,NYY (AAA),576,499,83,140,66,36,4,34,111,70,116,16,2,0.281,0.37,0.573,3B/OF,
Yonny Hern\xc3\xa1nde,28,660634,minors,Maj-NL,"NYM (AA,AAA)",509,445,63,129,107,17,3,2,46,46,54,11,5,0.29,0.37,0.355,2B/3B,
Zack Shor,31,670097,minors,Maj-AL,HOU (AAA),545,444,58,90,54,20,0,16,53,87,138,7,3,0.203,0.338,0.356,SS,
Nate Mondo,31,670148,minors,Maj-NL,SDP (AAA),617,525,79,159,117,28,5,9,88,69,92,8,6,0.303,0.39,0.427,2B,
Bryan De La Cru,29,650559,minors,Maj-NL,ATL (AAA),587,521,70,131,90,20,1,20,74,57,146,8,2,0.251,0.327,0.409,OF,
Cristian Pach,27,665506,minors,Maj-NL,ARI (AAA),432,379,62,97,59,25,4,9,42,41,130,15,3,0.256,0.338,0.414,OF,
Carter Kieboo,28,666198,minors,Maj-AL,LAA (AAA),542,498,64,158,119,26,2,11,68,41,106,11,1,0.317,0.369,0.444,3B,
Bobby Dalbe,30,666915,minors,Maj-AL,CHW (AAA),455,402,65,108,55,27,2,24,82,45,155,5,0,0.269,0.349,0.525,1B,
Conner Cape,29,668843,minors,Maj-NL,"ATL (AA,AAA)",552,487,55,115,84,15,4,12,50,56,108,22,8,0.236,0.316,0.357,OF,
Keston Hiur,28,669374,minors,Maj-NL,COL (AAA),445,383,62,104,59,21,3,21,67,47,123,1,1,0.272,0.369,0.507,1B/2B,
Gilberto Celestin,27,665482,minors,Maj-NL,NYM (AAA),487,424,70,114,90,14,1,9,42,58,113,16,3,0.269,0.359,0.37,OF,
Corey Julk,30,667452,minors,Maj-AL,CHW (AAA),635,561,99,166,108,36,1,21,83,69,133,23,4,0.296,0.376,0.476,OF,
Brewer Hickle,30,676551,minors,Maj-AL,"DET (A+,AAA)",514,443,86,108,70,12,3,23,74,55,150,38,6,0.244,0.339,0.44,OF,
Nick Madriga,29,663611,minors,Maj-AL,LAA (AAA),131,111,16,30,24,5,1,0,16,14,6,3,0,0.27,0.351,0.333,2B/3B,
Nolan Jone,28,666134,minors,Maj-AL,CLE (AAA),160,133,22,35,25,4,0,6,26,23,37,2,2,0.263,0.375,0.429,OF,
Jose Mirand,28,669304,minors,Maj-AL,MIN (AAA),483,438,45,91,60,18,1,12,53,34,82,1,0,0.208,0.277,0.336,1B/3B,
CJ Alexande,29,680769,minors,Maj-NL,LAD (AAA),633,555,93,143,82,30,6,25,92,74,180,8,3,0.258,0.344,0.468,3B,
Rodolfo Dur\xc3\xa1,28,660710,minors,Maj-NL,SDP (AAA),454,400,79,111,70,18,3,20,93,39,90,4,1,0.278,0.347,0.488,C,
Alejo Lope,30,664670,minors,Maj-AL,OAK (AAA),530,456,69,118,94,17,2,5,50,53,69,17,4,0.259,0.356,0.338,2B,
