Name,Age,mlbID,Lev,Tm,team_abbr,G,GS,W,SV,IP,H,ER,BB,SO,HR,ERA,WHIP,BF,SO/W,SB,PO,position,depth
Casey Lawrence,38,596271,AAA,SEA,SEA (AAA),28.0,27.0,11.0,0.0,144.0,168.0,82.0,0.04545455,84.0,23.0,5.125,1.3611111111111112,,,,,P,
Aaron Sanchez,33,592717,AAA,KCR,KCR (AAA),8.0,8.0,0.0,0.0,31.2,34.0,25.0,0.12837838,29.0,7.0,7.105262444620389,1.6736840425105806,,,,,P,
Aaron Wilkerson,36,658792,AAA,STL,STL (AAA),29.0,29.0,7.0,0.0,152.2,135.0,66.0,0.04934211,118.0,27.0,3.8908295646957476,1.0807859901932633,,,,,P,
Logan Allen,29,663531,AAA,LAD,LAD (AAA),8.0,7.0,1.0,0.0,32.2,44.0,23.0,0.14556962,20.0,4.0,6.336733707235888,2.0510200888154806,,,,,P,
Dakota Hudson,30,641712,AAA,LAA,LAA (AAA),28.0,24.0,8.0,0.0,136.0,193.0,101.0,0.07931571,89.0,22.0,6.6838235294117645,1.7941176470588236,,,,,P,
Cole Irvin,32,608344,AAA,LAD,LAD (AAA),8.0,8.0,3.0,0.0,42.2,50.0,18.0,0.10638298,17.0,4.0,3.7968745473772825,1.6406248044222826,,,,,P,
Thomas Hatch,31,641672,AAA,KCR,KCR (AAA),26.0,26.0,7.0,0.0,129.1,127.0,61.0,0.06445672,107.0,16.0,4.244845527760831,1.2525773688474584,,,,,P,
Shaun Anderson,31,641312,AAA,LAA,LAA (AAA),27.0,24.0,5.0,0.0,122.0,156.0,83.0,0.07885305,94.0,16.0,6.122951489755919,1.6393444417017184,,,,,P,
Alan Rangel,28,660604,AAA,PHI,PHI (AAA),32.0,31.0,7.0,0.0,161.1,157.0,75.0,0.07771261,165.0,33.0,4.183884429423574,1.3016529335984452,,,,,P,
Darren McCaughan,30,670766,AAA,MIN,MIN (AAA),34.0,18.0,9.0,0.0,131.1,158.0,86.0,0.06949153,130.0,27.0,5.893401243467427,1.5152284850775428,,,,,P,
Tyler Ivey,29,663959,AAA,HOU,HOU (AAA),27.0,25.0,4.0,0.0,122.0,134.0,79.0,0.11913357,102.0,18.0,5.827868852459017,1.639344262295082,,,,,P,
Jhonathan Díaz,29,646242,AAA,SEA,SEA (AAA),36.0,34.0,14.0,0.0,172.0,206.0,91.0,0.05234899,147.0,25.0,4.761628329399316,1.4244187310168892,,,,,P,
Bruce Zimmermann,31,669145,AAA,MIL,MIL (AAA),36.0,29.0,14.0,2.0,178.1,185.0,83.0,0.0518617,160.0,26.0,4.188785166197737,1.2560748021797765,,,,,P,
Bryan Sammons,31,676614,AAA,DET,DET (AAA),8.0,7.0,0.0,0.0,36.2,35.0,19.0,0.09677419,31.0,7.0,4.663635716714239,1.3636361744778478,,,,,P,
Thaddeus Ward,28,663658,AAA,BAL,BAL (AAA),32.0,23.0,9.0,0.0,119.2,125.0,71.0,0.16319444,131.0,11.0,5.33983332300496,1.8300837210298688,,,,,P,
Michael Plassmeyer,29,674681,AAA,TEX,TEX (AAA),40.0,17.0,12.0,0.0,121.1,107.0,55.0,0.08382066,113.0,19.0,4.079670564821139,1.2362638075215575,,,,,P,
