Name,mlbID,Lev,Tm,Age,G,GS,W,SV,IP,H,ER,BB,SO,HR,ERA,WHIP,BF,SO/W,SB,PO,team_abbr
Jason Adam,592094,Maj-NL,San Diego,33,1,0,,,1.1,0,0,0,2,0,0.0,0.0,5,,0,0,
Jorge Alcala,660896,Maj-AL,Minnesota,29,1,0,,,1.0,0,0,0,3,0,0.0,0.0,3,,0,0,MIN
Sandy Alcantara,645261,Maj-NL,Miami,29,1,1,1.0,,5.0,3,2,0,4,1,3.6,0.6,18,,1,0,MIA
Logan Allen,671106,Maj-AL,Cleveland,26,1,1,,,5.1,7,4,5,1,1,6.75,2.25,24,0.2,0,0,CLE
Ian Anderson,666120,Maj-AL,Los Angeles,27,1,0,,,1.0,0,0,0,2,0,0.0,0.0,3,,0,0,LAA
Lake Bachar,669199,Maj-NL,Miami,30,1,0,,,1.0,0,0,0,0,0,0.0,0.0,3,,0,0,MIA
Anthony Banda,607455,Maj-NL,Los Angeles,31,1,0,1.0,,1.0,1,0,1,1,0,0.0,2.0,5,1.0,0,0,LAD
Scott Barlow,605130,Maj-NL,Cincinnati,32,1,0,,,1.0,1,0,1,0,0,0.0,2.0,5,0.0,0,0,CIN
Shane Baz,669358,Maj-AL,Tampa Bay,26,1,1,1.0,,6.0,7,0,0,10,0,0.0,1.167,23,,0,0,TB
Jalen Beeks,656222,Maj-NL,Arizona,31,1,0,,,1.2,0,0,0,1,0,0.0,0.0,5,,0,0,ARI
Anthony Bender,669622,Maj-NL,Miami,30,1,0,,1.0,0.2,0,0,0,0,0,0.0,0.0,2,,0,0,MIA
Jos\xc3\xa9 Berr\xc3\xados,621244,Maj-AL,Toronto,31,1,1,,,5.2,4,2,3,8,0,3.18,1.235,22,2.67,1,0,TOR
Beau Brieske,689225,Maj-AL,Detroit,27,1,0,,,1.1,0,1,1,1,0,6.75,0.75,5,1.0,0,0,DET
Corbin Burnes,669203,Maj-NL,Arizona,30,1,1,,,4.1,4,2,3,8,2,4.15,1.615,21,2.67,1,0,ARI
Joey Cantillo,676282,Maj-AL,Cleveland,25,1,0,,,2.0,2,1,2,1,0,4.5,2.0,11,0.5,3,0,CLE
Danny Coulombe,543056,Maj-AL,Minnesota,35,1,0,,,1.0,0,0,0,0,0,0.0,0.0,3,,0,0,MIN
Fernando Cruz,518585,Maj-AL,New York,35,1,0,,,2.0,0,0,0,4,0,0.0,0.0,6,,0,0,NYY
Omar Cruz,678316,Maj-NL,San Diego,26,1,0,,,1.0,0,0,0,1,0,0.0,0.0,3,,0,0,
Jhonathan D\xc3\xadaz,646242,Maj-AL,Seattle,28,1,0,,,1.1,1,0,0,1,0,0.0,0.75,5,,0,0,SEA
Brandon Eisert,685126,Maj-AL,Chicago,27,1,0,,,0.2,1,1,0,1,0,13.5,1.5,3,,0,0,CWS
Fraser Ellard,686642,Maj-AL,Chicago,27,1,0,,,1.1,0,0,1,1,0,0.0,0.75,4,1.0,0,0,CWS
Mason Englert,669438,Maj-AL,Tampa Bay,25,1,0,,,2.0,1,0,0,2,0,0.0,0.5,7,,0,0,TB
Nathan Eovaldi,543135,Maj-AL,Texas,35,1,1,1.0,,9.0,4,0,0,8,0,0.0,0.444,30,,0,0,TEX
Jeremiah Estrada,669093,Maj-NL,San Diego,26,1,0,,,1.0,0,0,0,0,0,0.0,0.0,3,,0,0,
Caleb Ferguson,657571,Maj-NL,Pittsburgh,28,1,0,,,1.0,1,0,1,0,0,0.0,2.0,5,0.0,0,0,PIT
Tyler Ferguson,621053,Maj-AL,Athletics,31,1,0,,,1.1,1,0,0,1,0,0.0,0.75,5,,1,0,
Ryan Fernandez,681676,Maj-NL,St. Louis,27,1,0,,,1.0,2,2,1,0,0,18.0,3.0,5,0.0,0,0,STL
Jose A. Ferrer,678606,Maj-NL,Washington,25,1,0,,,1.2,2,0,1,2,0,0.0,1.8,9,2.0,0,0,WSN
